cs,en,facet,source,source_id,doc_count,occurrences,example_lines
zámek (sídlo elity),châteaux,Activity Area,teater,1439,1,1,"CTX201601688 p2 l14: pustý (Musil, F., Svoboda, L. 1998: Hrady zámky a tvrze okresu Rychnov nad Kněžnou, s."
(polo)zemnice,pit house,Feature,amcr,HES-000497,0,0,
Artemísion,Artemisium,Activity Area,teater,1306,0,0,
Asklépieion,Asclepeion,Activity Area,teater,1307,0,0,
Ekklésiastérion,Ekklesiasterion,Feature,teater,1512,0,0,
HaD–LtA,HaD–LtA,Chronology,amcr,HES-000309,0,0,
Itala,itala,Artefact,teater,2219,0,0,
Métróon,Metroon,Activity Area,teater,1313,0,0,
Múseion,Museion,Feature,teater,1534,0,0,
Nummus,Nummus,Artefact,teater,2288,0,0,
acheuléen,Acheulian,Chronology,teater,1078,0,0,
adyton,adyton,Feature,teater,1711,0,0,
agora,agora,Activity Area,teater,1469,0,0,
akanthos,acanthus,Artefact,teater,1791,0,0,
akropole,acropolis,Activity Area,teater,1424,0,0,
akrótérion,acroterion,Artefact,teater,1792,0,0,
akta,acta,Artefact,teater,2182,0,0,
akvadukt,aqueduct,Activity Area,teater,1414,0,0,
akvamanile,aquamanile,Artefact,amcr,HES-000651,0,0,
alabastron,alabastron,Artefact,teater,2029,0,0,
album,album,Artefact,teater,2251,0,0,
amfiprostylos,amphiprostyle,Activity Area,teater,1305,0,0,
amfiteátr,amphitheatre,Feature,teater,1483,0,0,
amfora,amphorae,Artefact,amcr,HES-000652,0,0,
amulet,amulet,Artefact,teater,2375,0,0,
analogie,analogy,Methods,teater,207,0,0,
andrón,andron,Feature,teater,1502,0,0,
antefix,antefix,Artefact,teater,1794,0,0,
antifonář,antiphonary,Artefact,teater,2216,0,0,
antika,classical antiquity,Chronology,teater,1259,0,0,
antrakologie/xylotomie,anthracology/xylotomy,Methods,amcr,HES-000604,0,0,
apoikia,apoikia,Activity Area,teater,1442,0,0,
apokryf,apocryphus,Artefact,teater,2183,0,0,
apologie,apologetic,Artefact,teater,2187,0,0,
apotropaion,apotropaic magic,Artefact,teater,2376,0,0,
apsida,apse,Feature,teater,1712,0,0,
arca,arca,Artefact,teater,2311,0,0,
archeoentomologie,archeoentomology,Methods,amcr,HES-000624,0,0,
archeogenetika,archaeogenetics,Methods,amcr,HES-000606,0,0,
archeomalakologie,archeomalacology,Methods,amcr,HES-000621,0,0,
archeoparazitologie,archeoparasitology,Methods,amcr,HES-000626,0,0,
archeoskanzen,archaeological open-air museum,Location & Admin,teater,254,0,0,
archeozoologie,archaeozoology,Methods,amcr,HES-000607,0,0,
architráv,architrave,Artefact,teater,1795,0,0,
armamentarium,armamentaria,Feature,teater,1490,0,0,
aryballos,aryballos,Artefact,teater,2031,0,0,
askos,askos,Artefact,teater,2032,0,0,
atrium,atrium,Feature,teater,1503,0,0,
aula,aule,Feature,teater,1504,0,0,
aulos,aulos,Artefact,teater,1827,0,0,
aureus,aureus,Artefact,teater,2278,0,0,
